Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Livspace,"Bengaluru, Karnataka, India",Active,For Profit,,,,,11.0,20.0,"Commerce and Shopping, Consumer Goods, Design, Real Estate","E-Commerce, Furniture, Interior Design",10.0,Late Stage Venture,2022-02-07,13430000000.0,INR,179885638.0,Series F,Series F,13430000000.0,INR,179885638.0,431577146.0,USD,431577146.0,1.0,976.201,"2,050,273.67",144.0,,,,"Square, Goldman Sachs, Jungle Ventures, Bessemer Venture Partners, IKEA"
NODAR,"Somerville, Massachusetts, United States",Active,For Profit,,,,,1.0,3.0,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation","3D Technology, Artificial Intelligence, Autonomous Vehicles, Computer Vision, Sensor",4.0,Early Stage Venture,2022-04-12,12000000.0,USD,12000000.0,Series A,Series A,12000000.0,USD,12000000.0,12000000.0,USD,12000000.0,,,,,,,,"New Enterprise Associates, Plug and Play Tech Center, Rhapsody Venture Partners"
PagerDuty,"San Francisco, California, United States",Active,For Profit,1.0,,1.0,,7.0,16.0,"Information Technology, Internet Services, Software","Cloud Computing, Information Technology, IT Management, SaaS, Software",7.0,IPO,2018-09-06,90000000.0,USD,90000000.0,Series D,Series D,90000000.0,USD,90000000.0,173600000.0,USD,173600000.0,52.0,"3,405,897","3,507,880.33",1.124,30765052.0,USD,30765052.0,"Andreessen Horowitz, Y Combinator, T. Rowe Price, Accel, Bessemer Venture Partners"
Li Auto,"Beijing, Beijing, China",Active,For Profit,4.0,2.0,,1.0,5.0,16.0,Transportation,"Automotive, Electric Vehicle, Transportation",5.0,IPO,2019-08-19,530000000.0,USD,530000000.0,Series C,Series C,530000000.0,USD,530000000.0,1248779712.0,USD,1248779712.0,,74.565,"73,657.5",257.0,,,,"ByteDance, BlueRun Ventures, Yintai Group, Matrix Partners China, Source Code Capital"
GuildFi,"Bangkok, Krung Thep, Thailand",Active,For Profit,8.0,1.0,,,2.0,11.0,"Apps, Gaming, Software","Apps, Gaming, Video Games",1.0,Seed,2021-11-10,6000000.0,USD,6000000.0,Seed,Seed,6000000.0,USD,6000000.0,6000000.0,USD,6000000.0,,57.21,601.937,136.0,,,,"Animoca Brands, Dapper Labs, Hashed, DeFiance Capital, Coinbase Ventures"
Naver,"Seongnam, Kyonggi-do, South Korea",Active,For Profit,57.0,27.0,1.0,13.0,1.0,1.0,Internet Services,"Internet of Things, Online Portals, Search Engine",1.0,IPO,2017-06-27,500000000000.0,KRW,438231298.0,Post-IPO Equity,Post-IPO Equity,500000000000.0,KRW,438231298.0,500000000000.0,KRW,438231298.0,6.0,"4,527,697","5,170,841.5",3.046,,,,Mirae Asset Global Investments
Kin Insurance,"Chicago, Illinois, United States",Active,For Profit,,,,,8.0,36.0,Financial Services,"Financial Services, Insurance, InsurTech, Property Insurance",8.0,Late Stage Venture,2022-03-01,82000000.0,USD,82000000.0,Series D,Series D,82000000.0,USD,82000000.0,238164957.0,USD,238164957.0,1.0,208.983,"180,325.17",428.0,,,,"500 Startups, QED Investors, Flourish Ventures, Commerce Ventures, Alpha Edison"
Komodo Health,"San Francisco, California, United States",Active,For Profit,,,,,2.0,10.0,"Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Software","Health Care, Information Technology, Predictive Analytics, Software",6.0,Late Stage Venture,2021-03-22,220000000.0,USD,220000000.0,Series E,Series E,220000000.0,USD,220000000.0,314000000.0,USD,314000000.0,1.0,27.692,22.219,322.0,1667546.0,USD,1667546.0,"Andreessen Horowitz, Tiger Global Management, Oak HC/FT, Casdin Capital, SVB Capital"
Grin,"Sacramento, California, United States",Active,For Profit,,,,,6.0,36.0,"Commerce and Shopping, Data and Analytics, Sales and Marketing","Analytics, E-Commerce, Marketing, Social Media Marketing",8.0,Early Stage Venture,2021-10-13,110000000.0,USD,110000000.0,Series B,Series B,110000000.0,USD,110000000.0,145260000.0,USD,145260000.0,,"2,075,475",714.144,822.0,98129.0,USD,98129.0,"FundersClub, LAUNCH, Headline, Bond, Imaginary Ventures"
iQiyi,"Beijing, Beijing, China",Active,For Profit,15.0,6.0,,,3.0,19.0,"Media and Entertainment, Video","Content, Media and Entertainment, TV",10.0,IPO,2022-03-04,285000000.0,USD,285000000.0,Post-IPO Equity,Post-IPO Equity,285000000.0,USD,285000000.0,3290869000.0,USD,3290869000.0,2.0,"16,601,534","7,176,279.5",521.0,,,,"Sequoia Capital, IDG Capital, Hillhouse Capital Group, Shunwei Capital, Boyu Capital"
OneCode,"Bengaluru, Karnataka, India",Active,,,,,,4.0,34.0,"Financial Services, Sales and Marketing","Digital Marketing, FinTech, Sales",4.0,Early Stage Venture,2022-03-31,13000000.0,USD,13000000.0,Series A,Series A,13000000.0,USD,13000000.0,18000000.0,USD,18000000.0,,19.216,"11,916.83",51.0,,,,"General Catalyst, Nexus Venture Partners, Surge, Kunal Shah, Sujeet Kumar"
Poplar Homes,"Cupertino, California, United States",Active,For Profit,,,,,3.0,12.0,"Financial Services, Real Estate","Property Management, Real Estate, Real Estate Investment, Rental Property",7.0,Early Stage Venture,2022-03-28,53000000.0,USD,53000000.0,Series B,Series B,53000000.0,USD,53000000.0,74860000.0,USD,74860000.0,,50.356,"16,675.5",153.0,,,,"Renren, Jeff Dean, LL Funds, XG Ventures, Crescent Cove Advisors"
Productboard,"San Francisco, California, United States",Active,For Profit,,,,,6.0,14.0,"Data and Analytics, Design, Other","Consumer Research, Product Management, Product Research",7.0,Late Stage Venture,2022-02-02,125000000.0,USD,125000000.0,Series D,Series D,125000000.0,USD,125000000.0,261700000.0,USD,261700000.0,5.0,548.883,"527,340.17",675.0,,,,"Sequoia Capital, Tiger Global Management, Craft Ventures, Index Ventures, Bessemer Venture Partners"
Rigetti Computing,"Berkeley, California, United States",Active,For Profit,,,,,3.0,41.0,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence, Big Data, Hardware, Quantum Computing, Software",11.0,IPO,2022-03-02,100000000.0,USD,100000000.0,Post-IPO Equity,Post-IPO Equity,100000000.0,USD,100000000.0,298450000.0,USD,298450000.0,4.0,15.699,"17,234.33",144.0,143211.0,USD,143211.0,"Alumni Ventures, Ampere Computing, Andreessen Horowitz, Lux Capital, Y Combinator"
Optimove,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,2.0,2.0,"Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence, Business Intelligence, CRM, Machine Learning, Marketing Automation, Predictive Analytics",2.0,Early Stage Venture,2021-09-27,75000000.0,USD,75000000.0,Secondary Market,Series A,20000000.0,USD,20000000.0,95000000.0,USD,95000000.0,24.0,24.944,"39,694.67",155.0,,,,"Summit Partners, Israel Growth Partners"
Line,"Tokyo, Tokyo, Japan",Active,For Profit,25.0,8.0,,6.0,,3.0,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Apps, Messaging, Mobile, Mobile Apps",2.0,IPO,2019-05-01,,,,Post-IPO Equity,Post-IPO Equity,,,,1331056152.0,USD,1331056152.0,2.0,608.722,"636,922.67",759.0,,,,"Mizuho Bank, LINE Financial Corporation, Orient Corporation"
Pinduoduo,"Shanghai, Shanghai, China",Active,For Profit,2.0,2.0,,1.0,3.0,11.0,"Commerce and Shopping, Internet Services","E-Commerce, E-Commerce Platforms, Group Buying",6.0,IPO,2020-03-30,1100000000.0,USD,1100000000.0,Post-IPO Equity,Post-IPO Equity,1100000000.0,USD,1100000000.0,3800361337.0,USD,3800361337.0,,462.899,"286,875.33",658.0,,,,"Tencent, IDG Capital, Hillhouse Capital Group, Sequoia Capital China, Cathay Innovation"
Justworks,"New York, New York, United States",Active,For Profit,1.0,1.0,,,5.0,15.0,"Administrative Services, Financial Services, Health Care, Internet Services, Other, Payments, Professional Services, Software","B2B, Compliance, Employee Benefits, Health Insurance, Human Resources, Internet, Payments, Software",6.0,Late Stage Venture,2020-01-28,50000000.0,USD,50000000.0,Series E,Series E,50000000.0,USD,50000000.0,143000000.0,USD,143000000.0,29.0,880.951,"796,319.67",848.0,275120.0,USD,275120.0,"Spark Capital, Union Square Ventures, Redpoint, Bain Capital, FirstMark"
Mindbody,"San Luis Obispo, California, United States",Active,For Profit,,,,,5.0,9.0,"Consumer Goods, Health Care, Sales and Marketing, Software, Sports","Beauty, Fitness, Health Care, Marketing, Software, Wellness",9.0,M&A,2021-10-13,500000000.0,USD,500000000.0,Private Equity,Private Equity,500000000.0,USD,500000000.0,614469760.0,USD,614469760.0,1.0,"13,395,800","10,876,618.33",857.0,27393900.0,USD,27393900.0,"Tech Coast Angels, Wavemaker Partners, Bessemer Venture Partners, Institutional Venture Partners, Sixth Street"
Hivemapper,"San Francisco, California, United States",Active,For Profit,,,,,2.0,26.0,"Data and Analytics, Navigation and Mapping","Geospatial, Navigation",3.0,Early Stage Venture,2022-04-05,18000000.0,USD,18000000.0,Series A,Series A,18000000.0,USD,18000000.0,21000000.0,USD,21000000.0,,17.141,15.542,168.0,,,,"Spark Capital, GV, 75 & Sunny, Craft Ventures, Founder Collective"
Navi Technologies,"Bengaluru, Karnataka, India",Active,For Profit,6.0,5.0,,,3.0,14.0,"Financial Services, Lending and Investments","Banking, Financial Services, FinTech, Insurance",5.0,Private Equity,2020-04-13,2040000000.0,INR,26751028.0,Private Equity,Private Equity,2040000000.0,INR,26751028.0,581977109.0,USD,581977109.0,,158.776,"76,327.67",94.0,,,,"International Finance Corporation, Sachin Bansal, Gaja Capital, Ankit Agarwal, Samit Shetty"
Podium,"Lehi, Utah, United States",Active,For Profit,,,,,4.0,13.0,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Consumer Reviews, Messaging, Software",7.0,Late Stage Venture,2021-11-15,201000000.0,USD,201000000.0,Series D,Series D,201000000.0,USD,201000000.0,419120000.0,USD,419120000.0,3.0,"12,113,943","5,585,084.17",396.0,3142681.0,USD,3142681.0,"GV, Y Combinator, Accel, Summit Partners, Institutional Venture Partners"
Indiegogo,"San Francisco, California, United States",Active,For Profit,18.0,5.0,2.0,2.0,5.0,25.0,"Financial Services, Lending and Investments","Crowdfunding, Finance, FinTech, Funding Platform, Hedge Funds",7.0,,2016-01-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,56500000.0,USD,56500000.0,18.0,"9,467,556","10,437,724.83",551.0,3683599.0,USD,3683599.0,"Insight Partners, Draper Associates, Khosla Ventures, ff Venture Capital, Kleiner Perkins"
Revolut,"London, England, United Kingdom",Active,For Profit,,,,,10.0,42.0,"Financial Services, Lending and Investments, Mobile, Payments, Software","Banking, Financial Services, FinTech, Mobile Payments",15.0,Late Stage Venture,2021-08-11,5470000.0,USD,5470000.0,Secondary Market,Series E,800000000.0,USD,800000000.0,1710939790.0,USD,1710939790.0,9.0,"18,483,500","10,257,555.67",406.0,11079865.0,USD,11079865.0,"Seedcamp, Tiger Global Management, SoftBank Vision Fund, Seedrs, Global Founders Capital"
Rarible,"Wilmington, Delaware, United States",Active,,2.0,,,,3.0,6.0,"Commerce and Shopping, Other","Blockchain, Ethereum, Marketplace",3.0,Early Stage Venture,2021-06-23,14200000.0,USD,14200000.0,Series A,Series A,14200000.0,USD,14200000.0,15950000.0,USD,15950000.0,,"3,399,048","2,612,044.17",787.0,,,,"ParaFi Capital, Coinbase Ventures, Venrock, 1kx, CoinFund"
IndiQube,"Bengaluru, Karnataka, India",Active,For Profit,,,,,1.0,2.0,"Administrative Services, Real Estate","Commercial Real Estate, Coworking, Office Administration, Real Estate",2.0,Early Stage Venture,2022-04-06,30000000.0,USD,30000000.0,Series B,Series B,30000000.0,USD,30000000.0,45000000.0,USD,45000000.0,,8.049,"3,645.5",306.0,,,,"WestBridge Capital, Ashish Gupta"
Ring,"Santa Monica, California, United States",Active,For Profit,,,,,8.0,23.0,"Consumer Electronics, Hardware, Privacy and Security, Real Estate","Consumer Electronics, Security, Smart Home",5.0,M&A,2017-01-25,109000000.0,USD,109000000.0,Series D,Series D,109000000.0,USD,109000000.0,203700000.0,USD,203700000.0,7.0,"18,759,465","21,997,526.5",545.0,,,,"M13, Qualcomm Ventures, Kleiner Perkins, First Round Capital, Upfront Ventures"
Mamaearth,"Gurgaon, Haryana, India",Active,For Profit,,,,,5.0,10.0,"Commerce and Shopping, Health Care","E-Commerce, Health Care, Retail, Wellness",7.0,,2021-12-28,37500000.0,USD,37500000.0,Venture - Series Unknown,Venture - Series Unknown,37500000.0,USD,37500000.0,110813960.0,USD,110813960.0,,"1,675,121","3,511,712.67",414.0,,,,"Sequoia Capital India, Sofina, Stellaris Venture Partners, Fireside Ventures, Evolvence India Fund"
